Fecha,Lote,Marca comercial,Principio activo,Dosis,Plaga o enfermedad,Maquina utilizada,Tiempo de carencia,Tipo de aplicación o riego,Operario responsable,Excedente,
,7-A,Afital,Fosfito de K ,800-400,Mejoras (Fungi y ferti),"""",,"""","""",,
19/12/2020,7-A,Tepeki,Flonicamid,600/300,Mosca blanca,Tract y riego,,Riego,Cabral,,
30/12/2020,7-A,Oberon,Spiromesifen(I-A),700/1400,Mosca blanca,"""",,,Changui,,
,7-A,Afital,Fosfito de K ,2800/1400,Mejoras (Fungi y ferti),"""",,,"""",,
18/1/2021,7-A,Movento,Spirotetramat,600/1000,Mosca blanca,"""",,,,,
,7-A,Afital,Fosfito de K ,2000/1000,Mejoras (Fungi y ferti),"""",,,"""",,
19/7/2019,7-B,FFO,,5,,,,RIEGO,,,
30/7/2019,7-B,FFO,,5,,,,RIEGO,,,
15/8/2019,7-B,FFO,,4,,,,RIEGO,,,
16/6/2020,7-B,Strike,Dicloropropene,,,,20,Riego,,,
14/8/2020,7-B,Silucion,Zn+Mg+Cu,200/100,Mejora planta,Mochila 20 l,,Pulverizacion,Luciano,,
25/8/2020,7-B,Imi-Max,Imidaclorprid,75/100,,,,,,,
,7-B,,,,,,,,,,
5/9/2020,7-B,Cota 4,SO4Cu penta,350/100,,Mochila 20 lts,,Pulverizacion,Luciano,,
10/9/2020,7-B,Polvo arcilla,Caolinita,6 mochilas,Botritys y resto fungi,Moch espolvoreadora,,Fumigacion,Luciano,,
12/9/2020,7-B,Granolito,CL,2 L,,,,,,,
14/9/2020,7-B,Proclaim,,30/100,Cogollero,Moch 20 l,,Pulverización,Luciano,,
"""",7-B,Silucion,Zn+Mg+Cu,200/100,Mejora planta,Mochila 20 l,,Pulverizacion,Luciano,,
19/10/2020,7-B,Miravis Top,Difenoconazole,1650/1100,Oidio,Mochila,,Pulverizacion,Luciano,,
"""",7-B,Afital,Fosfito de K,2200/1100,Fung y Aporte P y K,Mochila,,Pulverizacion,Luciano,,
"""",7-B,Silucion,Zn+Mg+Cu+Ca,2200/1100,Aporte de micro y macro,Mochila,,Pulveri,Luciano,,
23/10/2020,7-B,Sumilex,Procimidone,400/400,Prevent Botrytis,Tractor,,Tractor,Luciano,,
3/11/2020,7-B,Belt,Flubendiamida,270/900,Insecticida,Prevent cogollero,,Tractor,Luciano,,
"""     """,7-B,Afital,Fosfito de K,1800/900,Fung y Aporte P y K,Moch,,Tractor,Luciano,,
12/11/2020,7-B,Daconil,Clorotalonil,1800/900,Botritys y resto fungi,Tractor,,Pulveriz,Luciano,,
25/11/2020,7-B,Proclaim,Emamectina,315/900,Cogollero,Tractor,,Pulveriz,Luciano,,
"""",7-B,Afital,Fosfito de K,1800/900,Mejoras (Fungi y ferti),Tractor,,Pulver,Luciano,,
1/12/2020,7-B,Miravis duo,Difenoconazole,1500/1000,Oidio,Tractor,,Pulveriz,Luciano,,
"""",7-B,Hellion,Lufenuron,750/1000,Cogollero,"""",,Pulveriz,Luciano,,
"""",7-B,Afital,Fosfito de K,2000/1000,Mejoras (Fungi y ferti),"""",,Pulver,Luciano,,
2/12/2020,7-B,Miravis duo,Difenoconazole,225/150,Oidio,Tractor,,Pulveriz,Luciano,,
"""",7-B,Hellion,Lufenuron,110/150,Cogollero,"""",,Pulveriz,Luciano,,
"""",7-B,Afital,Fosfito de K,300/150,Mejoras (Fungi y ferti),"""",,Pulver,Luciano,,
22/1/2021,7-B,Falqat,Paraquat,3000/400,Malezas entresurco,Moch 20 l,,"""",Lulo,,
22/1/2021,7-B,Decis,Deltametrina,120/600,Insectos restos tomate,Tractor,,,Lulo,,
25/1/2021,7-B,Belt ,Flubendiamide,60/200,Cogollero,Mochila,,,Lulo,,
27/1/2021,7-B,,Fosfato mono K,"4,5/300",Trasplante,Tractor y máquina,,Riego,Cabral,,
28/1/2021,7-B,Sumilex,Procimidone,200/200,Botrytis,Mochila,,,Changui,,
,7-B,Decis,Deltametrina,40/200,Cogollero,"""",,,"""",,
,7-B,Hellion,Lufenuron,300/200,Cogollero,"""",,,"""",,
,7-B,Afital,Fosfito de K,400/200,Mejora planta,"""",,,"""",,
2/2/2021,7-B,Sumilex,Procimidone,200/200,Botrytis,"""",,,"""",,
,7-B,Metomyl,Metomyl,100/200,Cogollero,"""",,,"""",,
,7-B,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),"""",,,"""",,
9/2/2021,7-B,Hellion,Lufenuron,210/280,Cogollero,"""",,,"""",,
,7-B,Decis,Deltametrina,56/280,"""","""",,,"""",,
,7-B,Movento,Spirotetramat,48/280,Mosca blanca,"""",,,"""",,
,7-B,Afital,Fosfito de K,560/280,Mejoras (Fungi y ferti),"""",,,"""",,
13/2/2021,7-B,Oberon,Spiromesifen,200/400,Mosca blanca,"""",,,"""",,
,7-B,Belt,Flubendiamide,120/400,Cogollero,,,,,,
15/2/2021,7-B,Caolinita,,,,,,,,,
3/8/2019,8,FFO,microorg.,6,Mejoramiento de planta,,No Tiene,Riego,,0,
12/8/2019,8,PROMATINA,,"0,05",,1,No Tiene,Foliar,,0,
16/8/2019,8,FFO,microorg.,3,Mejoramiento de planta,,No Tiene,Riego,,0,
20/8/2019,8,Agrostin,,"0,05",,1,No Tiene,Foliar,,0,
,8,PROMATINA,,"0,05",,1,No Tiene,Foliar,,0,
,8,Silucion,,"0,2",Mejoramiento de planta,1,No Tiene,Foliar,,0,
27/8/2019,8,FFO,microorg.,3,Mejoramiento de planta,,No Tiene,Riego,,,
31/8/2019,8,FFO,microorg.,"2,5",Mejoramiento de planta,,No Tiene,Riego,,,
3/9/2019,8,RUTEX,,"0,045",Mejoramiento de planta,,No Tiene,Riego,,,
,8,RAISAN,,3,Mejoramiento de planta,,No Tiene,Riego,,,
18/6/2020,8,Amistar,Axozistrobin,50/100 L,Oídio,,,Pulverización,Lulo,Lechuga,
"""",8,Tepekki,Ciclonamida,,Pulgon,,,Pulverización,*,Lechuga,
21/7/2020,8,Hellion,Lufenurón,,Roedores,Mochila,,Pulverización,*,Brocoli,
28/7/2020,8,Hellion,Lufenurón,75/100,Roedores,Mochila,,Pulverización,*,Brocoli,
5/8/2020,8,Hellion,Lufenurón,15/20,Roedores,Mochila,,Pulverización,*,Brocoli,
6/8/2020,8,Terfos,Clorpirifos,100/100,Roedores,Mochila,,Pulverización,*,Brocoli,
16/8/2019,9-A,FFO,Microorg.,"3,5",Mejoramiento de planta,,No tiene,Riego,,,
27/8/2019,9-A,FFO,Microorg.,"2,5",Mejoramiento de planta,,No tiene,Riego,,,
13/11/2020,9-A,Sencorex,Metribuzin,320/400,Malezas pretraspl,Tractor,,Pulver,Lulo,,
25/11/2020,9-A,Hellion,Lufenuron,"37,5/50",Cogollero,Mochila 20 l,,Pulver,Lulo,,
"""",9-A,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,Pulver,Lulo,,
27/11/2020,9-A,Mifos,Glifosato,350/200,Malezas entresurco,Mochila 20 l,,Pulver,Lulo,,
7/12/2020,9-A,Belt,Flubendiamide,15/50,Cogollero,Mochila 20 l,,"""","""",,
,9-A,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,"""","""",,
14/12/2020,9-A,Proclaim,Emamectina,35/100,Cogollero,"""",,"""","""",,
29/12/2020,9-A,Proclaim,Emamectina,70/200,Cogollero,"""",,"""","""",,
,9-A,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),"""",,"""","""",,
,9-A,Belt,Flubendiamide,60/200,Cogollero,Tractor/maqu,,"""","""",,
31/12/2020,9-A,Emamectina,Emamectina,140/400,Cogollero,Tractor/maqu,,"""","""",,
,9-A,Hellion,Lufenuron,300/400,Cogollero,Tractor/maqu,,"""","""",,
,9-A,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
8/1/2021,9-A,Decis,Deltametrina,80/400,Cogollero,"""",,"""","""",,
,9-A,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
14/1/2021,9-A,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
,9-A,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
,9-A,Decis,Deltametrina,80/400,Cogollero,"""",,"""","""",,
21/1/2021,9-A,Belt,Flubendiamide,240/800,Cogollero,"""",,"""","""",,
,9-A,Decis,Deltametrina,160/800,Cogollero,"""",,"""","""",,
,9-A,Afital,Fosfito de K,1600/800,Mejora ( Fungi y ferti),"""",,"""","""",,
3/8/2019,9-B,FFO,Mcroorg.,5,Mejoramiento de planta,,No tiene,Riego,Lulo,,
3/8/2019,9-B,AGROSTIN,,"0,05",,1,No tiene,Foliar,Lulo,0,
,9-B,PROMALINA,Purinamina-Giberelina,"0,05",Regulador,1,No tiene,Foliar,Lulo,0,
5/8/2019,9-B,SILUCION,,"0,2",,1,No tiene,Foliar,Lulo,0,
16/8/2019,9-B,FFO,Mcroorg.,"3,5",Mejoramiento de planta,,No tiene,Riego,Lulo,,
20/8/2019,9-B,SILUCION,,"0,2",,1,No tiene,Foliar,Lulo,0,
27/8/2019,9-B,FFO,Mcroorg.,"2,5",Mejoramiento de planta,,No tiene,Riego,Lulo,,
31/8/2019,9-B,FFO,Mcroorg.,"2,5",Mejoramiento de planta,,No tiene,Riego,Lulo,,
13/11/2020,9-B,Sencorex,Metribuzin,320/400,Malezas pretraspl,Tractor,,Pulv,Lulo,,
25/11/2020,9-B,Hellion,Lufenuron,"37,5/50",Cogollero,Mochila 20 l,,Pulver,Lulo,,
"""",9-B,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,"""",,,
27/11/2020,9-B,Mifos,Glifosato,350/200,Malezas entresurco,Mochila 20 l,,Pulver,Lulo,,
7/12/2020,9-B,Belt,Flubendiamide,15/50,Cogollero,Mochila 20 l,,"""","""",,
,9-B,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,"""","""",,
14/12/2020,9-B,Proclaim,Emamectina,35/100,Cogollero,,,"""","""",,
30/12/2020,9-B,Proclaim,Emamectina,70/200,Cogollero,Tractor/maqu,,"""","""",,
,9-B,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),Tractor/maqu,,"""","""",,
,9-B,Belt,Flubendiamide,60/200,Cogollero,Tractor/maqu,,"""","""",,
31/12/2020,9-B,Emamectina,Emamectina,140/400,Cogollero,Tractor/maqu,,"""","""",,
,9-B,Hellion,Lufenuron,300/400,Cogollero,Tractor/maqu,,"""","""",,
,9-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
8/1/2021,9-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
,9-B,Onfire,Emamectina,300/400,,"""",,"""","""",,
13/1/2021,9-B,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
,9-B,Decis,Deltametrina,80/400,Cogollero,"""",,"""","""",,
,9-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
30/7/2019,10-A,FFO,,10,,,No tiene,RIEGO,,,
5/8/2019,10-A,SILUCION,,"0,2",,1,No tiene,Maquina,,,0
,10-A,NITRATO DE POTASIO,,"0,2",,1,No tiene,Maquina,,,0
7/8/2019,10-A,RAIZAN,,2,,,No tiene,RIEGO,,,
12/8/2019,10-A,FFO,,2,,,No tiene,RIEGO,,,
16/8/2019,10-A,FFO,,3,,,No tiene,RIEGO,,,
30/8/2019,10-A,SILUCION,,"0,2",,1,No tiene,Maquina,,,0
5/9/2019,10-A,RAIZAN,,"2,5",,,No tiene,RIEGO,,,
13/11/2019,10-A,Orius,,2,,,,,,,
25/6/2020,10-A,Infinito,Propanocarb,,D-Off,Mochila 20 l,,Pulverizacion,Aguirre,Remolacha,
10/7/2020,10-A,Infinito,Propanocarb,,D-Off,Mochila 20 l,,Pulverizacion,Aguirre,Remolacha/Acelga,
"""   """,10-A,Kanemite,acequinocyl,,Arañuela,Mochila 20 l,,Pulverizacion,Aguirre,Remolacha/Acelga,
22/7/2020,10-A,Cota 4,SO4Cu pentahidr,300/100 l,Fungosis,Tanque 200/Tractor,,Pulverizacion,Aguirre,Verdeo,
"""    """,10-A,Yogen,Fertilizante,600/100 l,Nutrición,"""   """,,Pulverizacion,Aguirre,"""",
10/8/2020,10-A,Infinito,,50/100,Fungosis,Mochila 20 l,,Pulverizacion,Aguirre,,
*,10-A,yogen 3,,600/100,Fertil,Mochila 20 l,,Pulverizacion,Aguirre,,
19/11/2020,10-A,Sencorex,Metribuzin,320/400,Malezas pretraspl,Tractor/pulver,,Pulverizacion,Aguirre,Tomate,
"""",10-A,Mifos,Glifosato,2800/400,Cebollín,Tractor/pulver,,Pulverizacion,Aguirre,,
25/11/2020,10-A,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,Pulverizacion,Aguirre,,
"""",10-A,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,"""","""",,
3/12/2020,10-A,FFO,Moo,3000/200,Mejoras (Fungi y ferti),Riego,,Riego,Cabral,Tomate,
3/12/2020,10-A,SILUCION,Ca+Mg+Zn+Cu+B,120/60,Mejoras (Fungi y ferti),Mochila 20 l,,Pulverizacion,Aguirre,,
"""",10-A,Afital,Fosfito de K,120/60,Mejoras (Fungi y ferti),Mochila 20 l,,"""",Aguirre,,
7/12/2020,10-A,Belt,Flubendiamide,15/50,Cogollero,Mochila 20 l,,"""","""",,
,10-A,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,"""","""",,
14/12/2020,10-A,Proclaim,Emamectina,35/100,Cogollero,,,"""","""",,
29/12/2020,10-A,Proclaim,Emamectina,70/200,Cogollero,,,"""","""",,
,10-A,Belt,Flubendiamide,60/200,Cogollero,,,"""","""",,
,10-A,Afital,Fosfito de K,400/200,Mejoras (Fungi y ferti),,,"""","""",,
8/1/2021,10-A,Onfire,Emamectina,375/500,Cogollero,Tractor/pulver,,"""","""",,
,10-A,Afital,Fosfito de K,1000/500,Mejoras (Fungi y ferti),"""",,"""","""",,
16/1/2021,10-A,Kumulus,Azufre,1200/400,Oidio,"""",,"""","""",,
,10-A,Hellion,Lufenuron,300/400,Cogollero,"""",,"""","""",,
,10-A,Decis,Deltametrina,80/400,Cogollero,"""",,"""","""",,
,10-A,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,"""","""",,
19/1/2021,10-A,Mifos,Glifosato,1500/200,Malezas entresurco,Mochila 20 l,,"""","""",,
21/1/2021,10-A,Belt,Flubendiamide,120/400,Cogollero,Tractor/pulverizadora,,"""","""",,
,10-A,Decis,Deltametrina,80/400,Cogollero,"""",,"""","""",,
,10-A,Afital,Fosfito de K,800/400,Mejora ( Fungi y ferti),"""",,"""","""",,
24/1/2021,10-A,Kanemite,Acequinocyl,60/20,Arañuela(manchón),"""",,"""","""",,
27/1/2021,10-A,Decis,Deltametrina,160/800,Cogollero,"""",,"""","""",,
,10-A,Hellion,Lufenuron,600/800,"""","""",,"""","""",,
,10-A,Omite,Propargite,400/800,Arañuela,"""",,"""","""",,
,10-A,Afital,Fosfito de K,1600/800,Mejora ( Fungi y ferti),"""",,"""","""",,
1/2/2021,10-A,Sumilex,Procimidone,800/800,Botrytis,"""",,"""","""",,
,10-A,Metomyl,Metomyl,400/800,Cogollero,"""",,,,,
4/2/2021,10-A,Cota 4,SO4Cu pentahidr,3150/900,Cancro,,,,,,
9/2/2021,10-A,Hellion,Lufenuron,675/900,Cogollero,"""",,"""","""",,
,10-A,Oberon,Spiromesifen,450/900,Mosca Bl/Arañuela,"""",,"""","""",,
13/2/2021,10-A,Oberon,Spiromesifen,450/900,Mosca Bl/Arañuela,,,,,,
,10-A,Belt,Flubendiamide,270/900,Cogollero,,,,,,
30/7/2019,10-B,FFO,,10,,,No tiene,Riego,,,
5/8/2019,10-B,SILUCION,,"0,2",,1,No tiene,Maquina,,0,
,10-B,NITRATO DE POTASIO,,"0,2",,1,No tiene,Maquina,,0,
7/8/2019,10-B,RAIZAN,,2,,,No tiene,Riego,,,
12/8/2019,10-B,FFO,,2,,1,No tiene,Maquina,,0,
16/8/2019,10-B,FFO,,3,,,No tiene,Riego,,,
27/8/2019,10-B,RAIZAN,,5,,,No tiene,Riego,,,
30/8/2019,10-B,SILUCION(Si),,"0,2",,1,No tiene,Maquina,,0,
5/9/2019,10-B,RAIZAN,,"2,5",,,No tiene,Riego,,,
13/11/2019,10-B,orius,,2,,,,,,,
22/7/2020,10-B,Cota 4, ,300/100 l,Fungosis,Tanque 200/Tractor,,Pulverizacion,Lulo,Verdeo,
"""    """,10-B,Yogen,Fertilizante,600/100 l,Nutrición,"""   """,,Pulverizacion,Lulo,"""",
16/11/2020,10-B,Sencorex,Metribuzin,160/200,Malezas pretraspl,Tanque 200/Tractor,,Pulverizacion,Lulo,,
25/11/2020,10-B,Hellion,Lufenuron,"37,5/50",Cogollero,Mochila 20 l,,Pulver,Lulo,,
"""",10-B,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),Mochila 20 l,,"""","""",,
27/11/2020,10-B,Mifos,Glifosato,350/200,Malezas entresurco,Mochila 20 l,,Pulver,"""",,
7/12/2020,10-B,Belt,Flubendiamide,15/50,Cogollero,Mochila 20 l,,"""","""",,
,10-B,Afital,Fosfito de K,100/50,Mejoras (Fungi y ferti),"""",,"""","""",,
14/12/2020,10-B,Proclaim,Emamectina,35/100,Cogollero,,,,"""",,
30/12/2020,10-B,Proclaim,Emamectina,35/100,Cogollero,,,,"""",,
,10-B,Belt,Flubendiamide,30/100,Cogollero,,,,"""",,
,10-B,Afital,Fosfito de K,200/100,Mejoras (Fungi y ferti),,,,"""",,
31/12/2020,10-B,Emamectina,Emamectina,140/400,Cogollero,Tractor/maqu,,,"""",,
,10-B,Hellion,Lufenuron,300/400,Cogollero,Tractor/maqu,,,"""",,
,10-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,,"""",,
8/1/2021,10-B,Onfire,Clorfenapir,300/400,Cogollero,"""",,,"""",,
,10-B,Afital,Fosfito de K,800/400,Cogollero,"""",,,"""",,
13/1/2021,10-B,Hellion,Lufenuron,300/400,Cogollero,"""",,,"""",,
,10-B,Decis,Deltametrina,80/400,Cogollero,"""",,,"""",,
,10-B,Afital,Fosfito de K,800/400,Mejoras (Fungi y ferti),"""",,,"""",,
16/1/2021,10-B,Mifos,Glifosato,1500/200,Malezas,Mochila 20 l,,,"""",,
21/1/2021,10-B,Belt,Flubendiamide,120/400,Cogollero,Tractor/maqu,,,"""",,
,10-B,Decis,Deltametrina,80/400,Cogollero,Tractor/maqu,,,"""",,
2/2/2021,10-B,Sumilex,Procimidone,800/800,Botrytis,Tractor/maqu,,,"""",,
,10-B,Emamectina,Emamectina,280/800,Cogollero,Tractor/maqu,,,"""",,
,10-B,Decis ,Deltametrina,160/800,Cogollero,Tractor/maqu,,,"""",,
2/2/2021,10-B,Formol,,2 L/ Lote,Cancro bacteriano,Chorro,,,,,
6/2/2021,10-B,Mifos,Glifosato,350/50,Malezas entresurco,Mochila 20 l,,,"""",,
16/8/2019,11-A,FFO,,"2,5",,,,Riego,,,
20/8/2019,11-A,Agrostin,,"0,05",,1,,Foliar,,0,
,11-A,Promatina,,"0,05",,1,,Foliar,,0,
31/8/2019,11-A,FFO,,"2,5",,,,Riego,,,
25/6/2020,11-A,Infinito,Propanocarb,,D-Off,Mochila 20 l,,Pulverizacion,,,
11/7/2020,11-A,Infinito,Propanocarb,,D-Off,"""",,"""",,,
"""",11-A,Kanemite,Acequinocyl,,Arañuela,"""",,"""",,,
29/7/2020,11-A,FFO,Microorg.,"2,5",,"""",,Foliar,Lulo,,
5/8/2020,11-A,yogen,Fertilizante,1200/200,,"""",,Foliar,"""",,
29/9/2020,11-A,Imi Max,Imidaclorprid,75/200,Trips,"""",,Foliar,"""",,
"""""",11-A,Atlante,Fosfito de K,200/100,Mejora planta/fungic,Mochila 20 l,,Foliar,"""",,
21/12/2020,11-A,Mifos,Glifosato,160/200,Cebollin,Tract y maquina,,Pulverización,Lulo,,
,11-A,Sencorex,Metribuzin,160/200,Malezas pretrasplante,,,,Lulo,,
29/12/2020,11-A,Silucion,Zn-Ca-Mn etc,400/200,Mejora planta/fungic,Mochila 20 l,,,Antonio,,
,11-A,Afital,Fosfito de K,400/200,Mejora planta/fungic,Mochila 20 l,,,Antonio,,
5/1/2021,11-A,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-A,Belt,Flubendiamide,30/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-A,Afital,Fosfito de K,200/100,Mejora planta/fungic,Mochila 20 l,,,Lulo,,
14/1/2021,11-A,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-A,Decis,Deltametrina,20/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-A,Afital,Fosfito de K,200/100,Mejora planta/fungic,Mochila 20 l,,,Lulo,,
19/1/2021,11-A,Desinfectante,Cloro,1750/25,Despunte,"""",,,"""",,
20/1/2021,11-A,Belt,Flubendiamide,30/100,Cogollero,"""",,,"""",,
,11-A,Decis,Deltametrina,20/100,"""","""",,,"""",,
,11-A,Afital,Fosfito de K,200/100,Mejora planta/fungic,"""",,,"""",,
1/2/2021,11-A,Sumilex,Procimidone,150/150,Botrytis,"""",,,"""",,
,11-A,Metomil,Metomil,75/150,Cogollero,"""",,,"""",,
,11-A,Emamectina Stockton,Emamectina,50/150,Cogollero,"""",,,"""",,
9/2/2021,11-A,Decis,Deltametrina,12/60 Lt,Cogollero,Mochila 20 l,,,"""",,
6/7/2019,11-B,FFO,,1,,,,RIEGO,,100,
19/7/2019,11-B,FFO,,2,,,,RIEGO,,100,
12/8/2019,11-B,FFO,,2,,,,,,100,
23/6/2020,11-B,Infinito,Propanocarb),,"Phythophtora, etc.",Mochila 20 L-3picos,,Pulverización,Lulo,,
31/7/2020,11-B,Beauveria,Beauveria,100,,,,Pulverización,Aguirre,100,
"""",11-B,FFO,Moo,"2,5",,,,Pulverización,Aguirre,100,
21/12/2020,11-B,Mifos,Glifosato,160/200,Cebollin,Tract y maquina,,Pulverización,Lulo,,
,11-B,Sencorex,Metribuzin,160/200,Malezas pretrasplante,,,,,,
29/12/2020,11-B,Silucion,Zn-Ca-Mn etc,400/200,Mejora planta/fungic,Mochila 20 l,,,Antonio,,
,11-B,Afital,Fosfito de K,400/200,Mejora planta/fungic,Mochila 20 l,,,Antonio,,
4/1/2021,11-B,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,,"""",,
,11-B,Belt,Flubendiamide,30/100,Cogollero,Mochila 20 l,,,"""",,
,11-B,Afital,Fosfito de K,200/100,Mejora planta/fungic,Mochila 20 l,,,"""",,
8/1/2021,11-B,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,,"""",,
,11-B,Onfire,Clorfenapir,75/100,Cogollero,"""",,,"""",,
,11-B,Afital,Fosfito de K,200/100,Mejora planta/fungic,"""",,,"""",,
14/1/2021,11-B,Hellion,Lufenuron,75/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-B,Decis,Deltametrina,20/100,Cogollero,Mochila 20 l,,,Lulo,,
,11-B,Afital,Fosfito de K,200/100,Mejora planta/fungic,Mochila 20 l,,,Lulo,,
19/1/2021,11-B,Desinfectante,Cloro,1750/25,Despunte,"""",,,"""",,
21/1/2021,11-B,Belt,Flubendiamide,45/150,Cogollero,"""",,,Antonio,,
,11-B,Decis,Deltametrina,30/150,Cogollero,"""",,,"""",,
,11-B,Afital,Fosfito de K,150/300,Mejora planta/fungic,"""",,,"""",,
30/1/2021,11-B,Sumilex,Procimidone,300/300,Botrytis,"""",,,"""",,
,11-B,Emamectina Stockton,Emamectina,105/300,Cogollero,"""",,,"""",,
,11-B,Decis,Deltametrina,60/300,"""","""",,,"""",,
5/2/2021,11-B,Hellion,Lufenuron,600/800,Cogollero,Tract y maquina,,,"""",,
,11-B,Decis,Deltametrina,160/800,Cogollero,Tract y maquina,,,"""",,
15/2/2021,11-B,Decis,Deltametrina,40/200,Orugas/gusanos,Moch,,,Lulo,,
26/6/2020,Pelé,Yogen 3,N-P-K foliar,,,Mochila ,#VALUE!,Pulverización,Pelé,,
,Pelé,Bifentrin,Idem,,,"""",,Pulverización,"""",,
11/8/2020,Pelé,Azufre,Azufre,800g/200,Fungosis,,,,,,
26/8/2020,Pelé,Dual,S-Metolaclor,2 lts,Malezas,Mochila ,,,Pelè,,
4/9/2020,Pelé,Yogen 3,Fertil,1200/200,,,,,,,
5/10/2020,Pelé,Cota 4,SO4 Cu,700/200,,Mochila,,,Pelé,,
5/10/2020,Pelé,Imi Max,Imidaclorprid,150/200,,"""",,,,,
7/10/2020,Pelé,Imi Max,Imidaclorprid,150/200,,"""",,Pulveriz,Pelè,,
7/10/2020,Pelé,Imi Max,Imidaclorprid,150/200,,"""",,Pulveriz,Pelè,,
28/10/2020,Pelé,Galigan,,150/200,Malezas,"""",,Pulveriz,,,verdeo
"""",Pelé,Prometrex,Prometrina,1000/200,"""","""",,Pulveriz,,,perejil
"""",Pelé,Falqat,Paraquat,1000/150,"""","""",,Pulveriz,,,zapallito
11/11/2020,Pelé,Imimax,Imidaclorprid,150/200,Pulgon/brócoli,,,Pulveriz,Pelè,,
23/12/2020,Pelé,Imimax,Imidaclorprid,150/200,Pulgon/brócoli,,,Pulveriz,Pelè,,